RegionName,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,PRICE/SQ. FT.,POPULATION,UNEMPLOYMENT_RATE,AVERAGE_SALARY/MON,MORTALITY_RATE
Alabama,0.651676322,0.660211268,0.664237177,0.629610116,0.630810093,0.632956153,0.634711437,0.632530157,0.626843658,0.627242378,0.638888889,0.627537837,0.638104624,4815960,8.0,41574,8.9
Alaska,1.133527132,1.142857143,1.147139303,1.139088729,1.132213294,1.120290813,1.111111111,1.113924051,1.115071283,1.16194626,1.179516686,1.127819549,1.135375446,731089,7.1,67712,5.2
Arizona,0.718562874,0.716448609,0.72537038,0.738125802,0.735728346,0.73800738,0.73907455,0.734753857,0.729166667,0.726829752,0.727454431,0.725063752,0.729548867,6549634,8.3,47826,5.8
Arkansas,0.635470826,0.632328751,0.643776824,0.638200896,0.647566719,0.661157025,0.666793699,0.658114035,0.652534016,0.646879756,0.646709548,0.644775021,0.647858926,2950685,7.6,40112,7.0
California,1.357791225,1.341241693,1.356812933,1.328205128,1.325757576,1.317398844,1.302578663,1.288481293,1.283394447,1.301571709,1.301510989,1.298828125,1.316964386,38011074,10.4,58328,4.5
Colorado,0.918686474,0.928661883,0.941850942,0.954568909,0.944444444,0.953189079,0.949453552,0.943965517,0.952380952,0.968144044,0.979680697,1.014705882,0.954144365,5189867,7.9,56765,4.6
Connecticut,1.215336391,1.226790451,1.250880902,1.268934896,1.275927254,1.280918728,1.259360109,1.235193907,1.224131206,1.219270468,1.206896552,1.197760729,1.238450133,3593795,8.3,67276,5.1
Delaware,0.833333333,0.812928082,0.824742268,0.820638184,0.806210881,0.815357426,0.822222222,0.805555556,0.805597516,0.807291667,0.805639476,0.80628655,0.81381693,916993,7.2,58415,7.6
District of Columbia,2.447552448,2.477083469,2.572347267,2.562225476,2.558782849,2.495833333,2.413793103,2.422052001,2.417282764,2.5,2.696629213,2.849905003,2.534457244,635327,9.0,45040,8.0
Florida,1.052941176,1.068746389,1.089108911,1.090909091,1.08773202,1.096813725,1.090909091,1.095600677,1.097293343,1.090909091,1.086956522,1.083423619,1.085945305,19344156,8.5,47209,6.1
Georgia,0.655624569,0.659868026,0.666666667,0.668151448,0.666360294,0.667527993,0.665045469,0.660876133,0.652568052,0.656028369,0.658807212,0.659090909,0.661384595,9914668,9.2,66259,6.3
Hawaii,2,1.998001998,2.086956522,2.096889121,2.115329579,2.090592334,2.050301324,2.075471698,2.11313394,2.10973312,2.176616915,2.216728893,2.094146287,1391820,6.0,45489,5.0
Idaho,0.597295267,0.624480033,0.629844961,0.646375747,0.645748988,0.626315789,0.632911392,0.634836204,0.625,0.626328976,0.630769231,0.65,0.630825549,1595911,7.2,55137,5.4
Illinois,1.287302565,1.275686137,1.295,1.19047619,1.209283388,1.327198767,1.319727537,1.35,1.403508772,1.449987712,1.451659452,1.5,1.33831921,12870798,9.0,46974,6.5
Indiana,0.681707533,0.69379845,0.690168037,0.682835486,0.689484127,0.692307692,0.687156593,0.682467162,0.690559441,0.681818182,0.672370556,0.669642857,0.684526343,6537743,8.3,50957,6.7
Iowa,0.865824143,0.845950477,0.875110497,0.902777778,0.891319444,0.881201044,0.887902331,0.853788687,0.85,0.858343337,0.855670103,0.868619555,0.86970895,3076310,5.0,50241,5.3
Kansas,0.741935484,0.788690476,0.819591683,0.820402299,0.811752988,0.803571429,0.796402301,0.799425287,0.796568627,0.776866638,0.777392344,0.780136127,0.792727974,2885262,5.7,41724,6.3
Kentucky,0.714285714,0.708812261,0.71908723,0.721002476,0.714285714,0.719026549,0.723306582,0.744416873,0.705647112,0.733568075,0.731382979,0.725080192,0.72165848,4384799,8.2,42944,7.1
Louisiana,0.817459553,0.839694656,0.848176421,0.846660395,0.841072465,0.85,0.845070423,0.838472486,0.809061489,0.822867196,0.800957774,0.801016565,0.830042452,4603429,7.1,46709,8.2
Maine,0.986411906,0.973684211,1.040178571,1.135407906,1.020408163,1.001979638,0.969362745,0.924372359,0.967261905,0.966268447,0.982218992,0.962400055,0.994162908,1328895,7.5,71122,6.7
Maryland,1.200036773,1.196172249,1.197297607,1.187847469,1.18828691,1.209677419,1.201845783,1.204427083,1.204116106,1.213048833,1.227678571,1.223060345,1.204457929,5889651,7.0,65339,6.4
Massachusetts,1.5,1.611111111,1.792700007,1.944444444,1.925465839,1.939571574,1.895865764,1.74723414,1.722280213,1.740139211,1.804123711,1.815652174,1.786549016,6658008,6.7,46859,4.2
Michigan,0.80223655,0.809716599,0.818965517,0.827205882,0.826446281,0.818181818,0.820852535,0.826986755,0.826388889,0.824402308,0.822561692,0.813584395,0.819794102,9887238,9.1,58906,6.9
Minnesota,1.010998308,1.016848528,1.009459934,1.02614897,1.028921023,1.038461538,1.045327755,1.043441227,1.099908341,1.08751942,1.030172414,1.069899244,1.042258892,5380285,5.6,37095,5.0
Mississippi,0.681818182,0.688559322,0.679305103,0.684090859,0.714285714,0.698351254,0.687639955,0.6875,0.681089352,0.678085015,0.682471264,0.696087721,0.688273645,2984945,9.0,45321,8.8
Missouri,0.811688312,0.779771805,0.792507205,0.79600995,0.801871853,0.792914486,0.794283037,0.786148869,0.781948168,0.786518237,0.797024442,0.782352659,0.791919918,6025415,6.9,45076,6.6
Montana,0.82412523,0.866336634,0.87680671,0.859202241,0.856911946,0.875118259,0.911794177,0.911823647,0.842497181,0.820830534,0.802951389,0.832968157,0.856780509,1005196,6.0,50723,5.9
Nebraska,0.805555556,0.826118191,0.863913872,0.810185185,0.802445548,0.809688622,0.821531792,0.811359026,0.776217228,0.822481151,0.795631673,0.82189998,0.813918985,1855725,4.0,49760,4.7
Nevada,0.731895223,0.724690459,0.724878935,0.730411687,0.730856544,0.730411687,0.729128691,0.723612622,0.722092116,0.71942446,0.716332378,0.715174129,0.724909078,2752565,11.2,63280,4.8
New Hampshire,1.044386423,1.051446017,1.065246338,1.069064276,1.066132771,1.046650718,1.041327803,1.02970297,1.029411765,1.036941024,1.041666667,1.050163132,1.047678325,1321182,5.5,69667,4.2
New Jersey,1.27785059,1.295541475,1.314800902,1.339545719,1.339285714,1.338858918,1.322751323,1.306313887,1.277777778,1.264980027,1.264880952,1.271929825,1.301209759,8873211,9.3,42558,4.4
