RegionName,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,PRICE/SQ. FT.,POPULATION,UNEMPLOYMENT_RATE,AVERAGE_SALARY/MON,MORTALITY_RATE,NA POPULATION,NA PRICE/SQ. FT.,NA UNEMPLOYMENT_RATE,NA AVERAGE_SALARY/MON,NA MORTALITY_RATE
California,1.594089219,1.627816628,1.664702263,1.660363086,1.650563607,1.642458516,1.652892562,1.649560117,1.656468531,1.632653061,1.673484567,1.607524545,1.642714725,39250017,5.4,67739,4.5,6335834,1.0668,4.7,58143,6.0411
Texas,0.857551487,0.865245665,0.875,0.882129969,0.882352941,0.880179615,0.881102405,0.87876125,0.875,0.869058012,0.870511425,0.866425993,0.873609897,27862596,4.6,56565,5.8,5677550,1.0668,4.7,58143,6.0411
Florida,1.21875,1.237309645,1.253918495,1.231527094,1.203703704,1.19047619,1.170522082,1.170731707,1.188707281,1.189486637,1.286549708,1.166861144,1.209045307,20612439,4.9,50860,6.1,5224794,1.0668,4.7,58143,6.0411
New York,1.29,1.312,1.21,1.344,1.343,1.342,1.3786,1.397,1.388,1.3897,1.356456,1.3675,1.343188,19745289,4.8,62909,4.8,4904218,1.0668,4.7,58143,6.0411
Illinois,1.209677419,1.227272727,1.230236845,1.272727273,1.269133151,1.25,1.271186441,1.25,1.25,1.248959201,1.24371035,1.240648146,1.246962629,12801539,5.9,60960,6.3,4588450,1.0668,4.7,58143,6.0411
Pennsylvania,0.971817559,0.981172246,1.007751938,1.025641026,1.035031847,1.026941568,1.011029412,0.996340652,0.983552632,0.969545453,0.9765625,0.9743984,0.996648769,12784227,5.4,56907,6.3,4409905,1.0668,4.7,58143,6.0411
Ohio,0.816447184,0.824982066,0.848040427,0.854190395,0.845454545,0.846153846,0.849281904,0.830487568,0.801839597,0.804227941,0.8,0.801282051,0.826865627,11614373,4.9,52334,7.1,4223809,1.0668,4.7,58143,6.0411
Georgia,0.700431034,0.704633205,0.7137031,0.714285714,0.71942446,0.715746421,0.721448468,0.720865038,0.720789074,0.722361809,0.727580479,0.723870056,0.717094905,10310371,5.4,53559,7.2,4055842,1.0668,4.7,58143,6.0411
North Carolina,0.721153846,0.727272727,0.738636364,0.743531778,0.743099788,0.744047619,0.75,0.746631737,0.74238627,0.736449538,0.738188976,0.735887097,0.738940478,10146788,5.1,50584,7,3910387,1.0668,4.7,58143,6.0411
Michigan,0.910194175,0.90625,0.917139664,0.924974306,0.928571429,0.922909881,0.937950938,0.9375,0.929739217,0.941704036,0.929103101,0.920245399,0.925523512,9928300,4.9,52492,6.8,3761902,1.0668,4.7,58143,6.0411
New Jersey,1.387054161,1.395089286,1.421684788,1.442803331,1.461538462,1.443894389,1.421941657,1.382994603,1.372044612,1.376604498,1.338329764,1.339239548,1.398601591,8944469,5.0,76126,4.4,3611502,1.0668,4.7,58143,6.0411
Virginia,1.019417602,1.022376543,1.034612491,1.048711562,1.055555556,1.046964639,1.075268817,1.06466877,1.040425591,1.040637013,1.041666667,1.007856682,1.041513494,8411808,4.0,68114,6,3478178,1.0668,4.7,58143,6.0411
Washington,1.084990958,1.095306909,1.105960265,1.104417671,1.125,1.133522727,1.158685679,1.174004715,1.169093004,1.162251995,1.146923907,1.141686183,1.133487001,7288000,5.4,67106,4.5,3351674,1.0668,4.7,58143,6.0411
Arizona,0.807174888,0.818836871,0.830555556,0.842424363,0.820139329,0.821546053,0.817980703,0.815044724,0.805663606,0.806451613,0.82010582,0.796148426,0.816839329,6931071,5.3,53558,5.7,3248087,1.0668,4.7,58143,6.0411
Massachusetts,2.4375,2.515346665,2.564102564,2.625,2.60374288,2.605042017,2.601156069,2.48,2.430133657,2.301843732,2.262339242,2.290820795,2.476418968,6811779,3.7,75297,4.3,3148547,1.0668,4.7,58143,6.0411
Tennessee,0.74875208,0.748502994,0.760475337,0.766423358,0.771604938,0.769938103,0.79318394,0.784733765,0.779376499,0.771604938,0.768052924,0.768229167,0.769239837,6651194,4.8,48547,6.9,3046790,1.0668,4.7,58143,6.0411
